Latitude,Longitude,CD4  (/km^2)
,,>200 mm
22.0512,155.4182,12.19
23.9013,155.2417,36.55
23.9013,155.2417,20.31
25.1033,154.1482,130.78
26.3580,152.2792,18.57
26.7132,151.7820,18.00
27.7877,150.3495,60.60
27.8875,150.1943,8.54
27.8875,150.1943,4.27
32.8888,143.7253,60.34
32.9825,143.4250,81.33
32.9825,143.4250,126.52
32.1600,152.4600,5.23
32.0400,153.1900,22.14
32.0067,153.3833,25.58
32.0400,153.2100,16.60
31.0800,155.3300,35.98
30.5800,156.1100,68.18
31.0500,155.4600,55.34
30.4100,157.5100,11.07
30.4016,158.0191,30.82
30.3900,158.0400,7.59
30.2000,158.4217,201.83
30.1200,158.5500,36.52
30.0962,160.0116,190.36
30.1400,160.5300,61.93
30.1200,160.3900,100.53
30.1916,161.3383,43.08
30.1152,160.3090,144.71
30.2556,163.0435,98.63
30.2800,163.5900,321.24
30.2949,164.2165,185.82
30.3045,166.0915,58.52
30.3397,166.2189,195.07
30.3300,166.2000,239.20
30.4200,166.4600,174.28
29.5845,168.2213,55.73
29.5261,168.3514,42.35
29.1000,170.0300,2.78
28.5500,173.1000,45.35
29.0100,172.4900,15.81
29.1514,172.2652,21.90
29.1100,170.3100,1.03
28.3400,175.1100,21.40
28.2373,175.2428,7.75
29.5100,179.4500,78.59
30.0095,-178.5613,202.40
30.0400,-178.4100,195.42
30.2152,-176.4467,149.55
30.2500,-176.2800,142.68
30.2856,-176.1427,170.70
30.3412,-175.5211,19.87
31.1021,-174.1443,56.67
31.1517,-174.0432,48.95
31.2573,-173.4690,186.21
31.3837,-173.2722,98.95
30.3000,-173.0400,110.61
30.5460,-172.3667,100.34
31.0304,-172.2703,43.74
30.8333,-146.9000,34.96
33.5410,-144.9160,17.48
36.2500,-142.9333,43.49
36.4500,-137.1667,43.70
25.6667,-158.0333,2.10
28.3667,-157.3500,5.22
33.6500,-155.1667,10.16
34.9333,-151.1167,17.62
36.1167,-147.0333,26.26
37.4833,-142.1000,5.33
37.8500,-138.0000,0.61
27.5667,-154.2000,1.64
29.7333,-150.6167,10.45
31.0667,-148.8000,9.23
32.5667,-147.4167,4.51
34.4333,-145.8167,5.31
36.5000,-144.9000,9.21
37.9667,-143.4833,8.32
27.5667,-157.3833,1.20
30.9500,-157.3500,1.57
33.4000,-156.9333,5.75
34.5000,-153.2500,5.41
35.4167,-149.8833,5.47
36.0000,-146.3333,5.17
36.5000,-142.0833,8.36
37.1667,-138.9167,0.73
37.1500,-138.9000,0.49
36.2700,-148.5395,98.92
35.6247,-139.8972,6.92
35.4010,-136.7717,1.53
22.4217,-159.5167,0.44
27.4852,-158.3032,4.11
32.3460,-157.5991,9.24
33.9533,-155.8267,20.71
35.8667,-152.5333,12.58
37.0717,-148.6533,13.01
36.1333,-142.1500,587.33
35.5483,-139.4417,8.22
34.8083,-136.8200,2.75
34.5883,-133.7417,0.89
34.7433,-131.5350,0.50
34.6683,-129.1617,0.52
33.1199,-158.1481,1.37
33.6833,-158.0500,6.97
34.0500,-157.9833,1.26
35.5667,-157.5833,8.23
35.4167,-157.4000,4.77
34.4279,-155.8867,3.13
33.2667,-154.5000,11.72
33.3667,-154.2500,32.46
32.3608,-152.7967,15.57
32.3193,-151.3663,1.00
33.8843,-148.6780,2.19
35.7317,-146.0215,6.02
35.1167,-153.1667,6.96
37.2667,-151.9000,10.93
36.9833,-150.8167,13.02
36.9000,-149.3000,33.46
37.1667,-146.0833,17.10
34.2300,-162.1567,19.33
40.1867,-162.3583,48.93
41.8767,-161.3617,12.96
27.2333,-156.2833,18.61
29.0500,-155.3667,178.01
30.8000,-153.1500,44.53
32.7000,-151.0167,117.76
38.2167,-142.4833,11.30
33.3667,-154.7333,8.13
33.5167,-154.8833,13.95
35.2167,-153.2667,75.94
35.2167,-153.2667,32.54
36.1000,-151.7833,131.72
32.3333,-155.9333,5.04
31.6000,-157.4333,31.09
36.2167,-151.5000,44.52
37.1833,-148.6000,30.80
29.6500,-156.0833,5.88
29.6500,-156.0833,17.64
33.9000,-155.0833,4.58
33.9000,-155.0833,9.16
35.4500,-154.5167,6.24
37.7333,-150.9500,4.05
41.4333,-145.0333,5.81
26.3833,-156.9333,29.34
27.8833,-155.5167,28.94
29.5500,-153.5667,13.48
31.1167,-151.3333,12.23
32.7000,-149.7333,2.83
37.6333,-146.0167,0.70
37.8667,-143.3333,1.86
38.0833,-141.0167,1.44
38.1667,-137.6833,10.47
38.1500,-132.2000,0.54
26.1167,-153.3167,30.43
27.8333,-151.3333,4.79
29.9667,-149.9500,19.55
34.7167,-147.7333,4.43
36.4000,-146.3667,8.95
36.7167,-143.9167,8.47
36.5500,-148.9833,102.33
36.6333,-146.6167,91.88
28.7167,-156.6833,11.14
31.5667,-153.5833,59.47
34.5833,-151.5167,93.06
38.8025,-138.6878,21.22
39.1000,-125.3167,12.66
28.2650,-157.4175,21.72
33.9758,-156.0402,6.36
36.5049,-155.2740,58.79
37.4767,-156.6750,34.49
37.5417,-152.4833,23.94
37.5277,-152.2349,7.71
37.2667,-145.2667,4.43
31.1333,-159.5167,5.82
34.1833,-159.1667,46.96
36.1833,-158.2167,29.33
29.8167,-156.9667,1.84
30.9333,-156.5667,4.45
32.9000,-155.6667,7.34
32.3833,-154.6500,44.76
33.9833,-151.3333,31.71
35.9833,-148.8167,17.58
37.3833,-146.0333,6.20
37.1000,-142.0333,0.85
26.0945,-157.3422,32.05
35.7750,-149.3100,54.96
32.9500,-159.5500,11.75
38.9667,-161.7833,0.36
40.1167,-162.9500,13.26
43.0667,-160.2667,3.12
38.0762,-152.3518,4.51
35.7733,-153.6367,10.59
37.8873,-149.5742,55.58
38.1875,-138.8018,2.75
32.4000,-150.9667,94.52
36.5500,-146.5000,11.40
36.1000,-142.9000,693.96
35.7000,-139.9500,15.18
36.0000,-136.1000,28.47
24.2500,-156.7833,12.46
30.5000,-150.4667,8.44
35.1833,-147.7000,8.67
33.7167,-139.4500,31.04
31.2552,-158.1222,43.78
31.6334,-156.0684,92.23
33.0571,-153.8981,42.18
32.9783,-154.1450,165.73
29.0717,-155.0567,8.16
30.0250,-155.0300,0.05
30.9867,-154.7700,40.19
30.9850,-154.2350,40.55
30.7750,-152.9033,11.29
30.6700,-152.4833,61.69
30.6667,-150.8850,115.32
30.9017,-150.4400,113.37
31.4900,-149.2467,179.02
31.9917,-148.9783,136.09
32.8967,-148.0717,288.76
33.2733,-147.6100,169.26
34.3983,-146.6683,91.82
34.7650,-146.3617,141.15
35.2250,-144.7883,46.38
35.3033,-144.2033,92.65
35.6000,-142.1350,36.34
35.4817,-141.5217,54.91
35.4183,-139.3850,55.25
35.4600,-138.7833,42.25
30.2500,-156.6000,9.13
